entity,label
16,CARDINAL
24,CARDINAL
2017,DATE
5,CARDINAL
section 194,LAW
6,CARDINAL
a year,DATE
5,CARDINAL
section 25,LAW
5,CARDINAL
section 25,LAW
1,CARDINAL
20,CARDINAL
1,CARDINAL
the year,DATE
the period of year of twelve months,DATE
the first day of april,DATE
the thirty first day of march,DATE
year,DATE
24,CARDINAL
2,CARDINAL
year,DATE
3,CARDINAL
21,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
3,CARDINAL
5,CARDINAL
2,CARDINAL
3,CARDINAL
6,CARDINAL
the year,DATE
18,CARDINAL
24,CARDINAL
2017,DATE
22,CARDINAL
1,CARDINAL
2,CARDINAL
accrual basis,ORG
23,CARDINAL
1,CARDINAL
2,CARDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
6,CARDINAL
the year,DATE
6,CARDINAL
20,CARDINAL
24,CARDINAL
three years,DATE
24,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
24,CARDINAL
5,CARDINAL
6,CARDINAL
6,CARDINAL
section 66,LAW
25,CARDINAL
1,CARDINAL
2,CARDINAL
each year,DATE
3,CARDINAL
the end of a year,DATE
4,CARDINAL
5,CARDINAL
the year,DATE
a year,DATE
the year,DATE
22,CARDINAL
24,CARDINAL
5,CARDINAL
an earlier year,DATE
section 19,LAW
the year,DATE
6,CARDINAL
a year,DATE
that year,DATE
twelve months of the date,DATE
section 19,LAW
26,CARDINAL
1,CARDINAL
4,CARDINAL
5,CARDINAL
chapter ii,LAW
2,CARDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
lankan,ORG
sri lankan,ORG
5,CARDINAL
6,CARDINAL
5,CARDINAL
24,CARDINAL
24,CARDINAL
2017,DATE
lankan,ORG
sri lankan,ORG
27,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
section 33,LAW
28,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
24,CARDINAL
3,CARDINAL
third,ORDINAL
29,CARDINAL
1,CARDINAL
2,CARDINAL
30,CARDINAL
section 24,LAW
1,CARDINAL
2,CARDINAL
26,CARDINAL
24,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
six-monthly,DATE
4,CARDINAL
section 49,LAW
5,CARDINAL
6,CARDINAL
24,CARDINAL
seventy five per cent,MONEY
less than,CARDINAL
twenty five percent,PERCENT
ninety per cent,MONEY
32,CARDINAL
islamic,NORP
islamic,NORP
non-islamic,NORP
33,CARDINAL
1,CARDINAL
2,CARDINAL
28,CARDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
1,CARDINAL
34,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
24,CARDINAL
one,CARDINAL
4,CARDINAL
35,CARDINAL
1,CARDINAL
one,CARDINAL
2,CARDINAL
30,CARDINAL
24,CARDINAL
2017,DATE
3,CARDINAL
4,CARDINAL
3,CARDINAL
five years,DATE
the last day of the year,DATE
5,CARDINAL
24,CARDINAL
36,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
two,CARDINAL
37,CARDINAL
1,CARDINAL
