entity,label
164,CARDINAL
24,CARDINAL
two hundred,CARDINAL
185,CARDINAL
1,CARDINAL
one million,CARDINAL
2,CARDINAL
thirty days,DATE
186,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
24,CARDINAL
165,CARDINAL
4,CARDINAL
more than one,CARDINAL
five years,DATE
5,CARDINAL
187,CARDINAL
188,CARDINAL
twelve years,DATE
twelve years,DATE
three years,DATE
166,CARDINAL
24,CARDINAL
three years,DATE
189,CARDINAL
ten million,CARDINAL
two years,DATE
190,CARDINAL
1,CARDINAL
one million,CARDINAL
one year,DATE
2,CARDINAL
24,CARDINAL
section 170,LAW
191,CARDINAL
2,CARDINAL
3,CARDINAL
one million,CARDINAL
one year,DATE
192,CARDINAL
one million,CARDINAL
one year,DATE
168,CARDINAL
24,CARDINAL
2017,DATE
193,CARDINAL
1,CARDINAL
191,CARDINAL
192,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
3,CARDINAL
24,CARDINAL
5,CARDINAL
6,CARDINAL
3,CARDINAL
1,CARDINAL
chapter xix regulations,LAW
194,CARDINAL
1,CARDINAL
2,CARDINAL
a date earlier,DATE
3,CARDINAL
