entity,label
200,CARDINAL
24,CARDINAL
2017,DATE
section 2,LAW
1,CARDINAL
1,CARDINAL
2,CARDINAL
a year,DATE
"600,000 4%",PERCENT
"600,000",CARDINAL
"24,000",CARDINAL
8%,PERCENT
"1,200,000",CARDINAL
"600,000",CARDINAL
"1,200,000",CARDINAL
"72,000",CARDINAL
12%,PERCENT
"1,800,000",CARDINAL
"1,200,000",CARDINAL
"1,800,000",CARDINAL
"144,000",CARDINAL
16%,PERCENT
"2,400,000",CARDINAL
"1,800,000",CARDINAL
"2,400,000",CARDINAL
"240,000 plus 20%",PERCENT
"3,000,000",CARDINAL
"2,400,000",CARDINAL
"3,000,000 rs",QUANTITY
"360,000",CARDINAL
24%,PERCENT
"3,000,000",CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
10%,PERCENT
3,CARDINAL
a year,DATE
24,CARDINAL
20 years,DATE
"2,000,000 0%",PERCENT
"2,000,000 5%",PERCENT
"2,000,000 rs",QUANTITY
"3,000,000",CARDINAL
"3,000,000 rs",QUANTITY
"50,000",CARDINAL
10%,PERCENT
more than 20 years,DATE
"5,000,000 0%",PERCENT
"5,000,000",CARDINAL
5%,PERCENT
"6,000,000",CARDINAL
"5,000,000",CARDINAL
"6,000,000 rs",QUANTITY
"50,000",CARDINAL
10%,PERCENT
"6,000,000",CARDINAL
4,CARDINAL
40%,PERCENT
1,CARDINAL
3,CARDINAL
2,CARDINAL
202,CARDINAL
24,CARDINAL
"april 1, 1968",DATE
15%,PERCENT
4,CARDINAL
2,CARDINAL
2,CARDINAL
10%,PERCENT
3,CARDINAL
1,CARDINAL
2,CARDINAL
a year,DATE
1,CARDINAL
section 57,LAW
24%,PERCENT
2,CARDINAL
10%,PERCENT
1,CARDINAL
3,CARDINAL
10%,PERCENT
4,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
a year,DATE
28%,PERCENT
24,CARDINAL
2,CARDINAL
a year,DATE
14%,PERCENT
14%,PERCENT
14%,PERCENT
40%,PERCENT
14%,PERCENT
14%,PERCENT
services-14%,PERCENT
3,CARDINAL
sri lanka,GPE
204,CARDINAL
24,CARDINAL
80%,PERCENT
4,CARDINAL
10%,PERCENT
1,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
section 59,LAW
a year,DATE
28%,PERCENT
2,CARDINAL
10%,PERCENT
1,CARDINAL
6,CARDINAL
1,CARDINAL
2,CARDINAL
a year,DATE
14%,PERCENT
2,CARDINAL
10%,PERCENT
1,CARDINAL
1,CARDINAL
2,CARDINAL
a year,DATE
28%,PERCENT
24,CARDINAL
205,CARDINAL
2,CARDINAL
10%,PERCENT
1,CARDINAL
3,CARDINAL
a year,DATE
section 68,LAW
be[28%,GPE
8,CARDINAL
1,CARDINAL
a year,DATE
14%,PERCENT
2,CARDINAL
12,CARDINAL
1983,DATE
9,CARDINAL
section 62,LAW
14%,PERCENT
10,CARDINAL
1,CARDINAL
section 83,LAW
5%,PERCENT
206,CARDINAL
24,CARDINAL
10%,PERCENT
14%,PERCENT
section 85,LAW
5%,PERCENT
"50,000 per month",DATE
14%,PERCENT
14%,PERCENT
2,CARDINAL
section 53(9,LAW
section 84(1,LAW
8%,PERCENT
3,CARDINAL
section 84,LAW
2,CARDINAL
2.5%,PERCENT
24,CARDINAL
207 second,TIME
1,CARDINAL
1,CARDINAL
sri lanka,GPE
a year,DATE
fourth,ORDINAL
2,CARDINAL
100%,PERCENT
a year,DATE
that year,DATE
that year,DATE
sri lanka,GPE
3 million,CARDINAL
100 million,CARDINAL
3,CARDINAL
150%,PERCENT
a year,DATE
that year,DATE
that year,DATE
sri lanka,GPE
100 million,CARDINAL
4,CARDINAL
200%,PERCENT
a year,DATE
that year,DATE
that year,DATE
3 million,CARDINAL
5,CARDINAL
150%,PERCENT
a year,DATE
that year,DATE
that year,DATE
sri lanka,GPE
250 million,CARDINAL
6,CARDINAL
1,CARDINAL
a particular year,DATE
that year,DATE
a later year,DATE
9,CARDINAL
19(1,DATE
