entity,label
24,CARDINAL
24th,ORDINAL
2017,DATE
democratic,NORP
sri lanka,GPE
1,CARDINAL
24,CARDINAL
2017,DATE
"april 1, 2018",DATE
2,CARDINAL
1,CARDINAL
each year,DATE
that year,DATE
that year,DATE
2,CARDINAL
any year,DATE
1,CARDINAL
3,CARDINAL
1,CARDINAL
first,ORDINAL
the year,DATE
section 80,LAW
2,CARDINAL
07/2017,CARDINAL
2,CARDINAL
24,CARDINAL
the year,DATE
4,CARDINAL
1,CARDINAL
first,ORDINAL
chapter ii,LAW
3.,CARDINAL
1,CARDINAL
2,CARDINAL
a year,DATE
the year,DATE
2,CARDINAL
a year,DATE
that year,DATE
section 52,LAW
3,CARDINAL
4,CARDINAL
a year,DATE
that year,DATE
