entity,label
2,CARDINAL
24,CARDINAL
the year,DATE
4,CARDINAL
1,CARDINAL
first,ORDINAL
chapter ii,LAW
3.,CARDINAL
1,CARDINAL
2,CARDINAL
a year,DATE
the year,DATE
2,CARDINAL
a year,DATE
that year,DATE
section 52,LAW
3,CARDINAL
4,CARDINAL
a year,DATE
that year,DATE
24,CARDINAL
that year,DATE
sri lanka,GPE
5,CARDINAL
1,CARDINAL
a year,DATE
that year,DATE
2,CARDINAL
a year,DATE
the year,DATE
3,CARDINAL
4,CARDINAL
24,CARDINAL
3,CARDINAL
a year,DATE
2,CARDINAL
24,CARDINAL
6,CARDINAL
1,CARDINAL
a year,DATE
the year,DATE
2,CARDINAL
a year,DATE
the year,DATE
second,ORDINAL
fourth,ORDINAL
6,CARDINAL
24,CARDINAL
3,CARDINAL
a year,DATE
7,CARDINAL
1,CARDINAL
a year,DATE
the year,DATE
2,CARDINAL
a year,DATE
the year,DATE
24,CARDINAL
3,CARDINAL
a year,DATE
8,CARDINAL
1,CARDINAL
a year,DATE
the year,DATE
2,CARDINAL
division iii:,PERSON
9,CARDINAL
1,CARDINAL
third,ORDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
8,CARDINAL
24,CARDINAL
2017,DATE
10,CARDINAL
1,CARDINAL
section 197,LAW
a future year,DATE
24,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
more than one,CARDINAL
11,CARDINAL
1,CARDINAL
a year,DATE
the year,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
twelve months,DATE
12,CARDINAL
section 11,LAW
a year,DATE
10,CARDINAL
24 of 2017 year,DATE
the year,DATE
13,CARDINAL
1,CARDINAL
a year,DATE
2,CARDINAL
2,CARDINAL
the year,DATE
the year,DATE
the year,DATE
3,CARDINAL
a year,DATE
the previous year,DATE
4,CARDINAL
a year,DATE
the end of the year,DATE
the end of the year,DATE
5,CARDINAL
4,CARDINAL
24,CARDINAL
14,DATE
1,CARDINAL
1,CARDINAL
section 11,LAW
any year,DATE
2,CARDINAL
1,CARDINAL
a year,DATE
five percent,PERCENT
the previous year,DATE
4(3,CARDINAL
fourth,ORDINAL
twenty percent,PERCENT
the previous year,DATE
4(3,CARDINAL
fourth,ORDINAL
3,CARDINAL
2,CARDINAL
the asset year,DATE
3,CARDINAL
fourth,ORDINAL
15,CARDINAL
1,CARDINAL
1,CARDINAL
section 11,LAW
2,CARDINAL
12,CARDINAL
24,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
16,CARDINAL
1,CARDINAL
a year,DATE
2,CARDINAL
4,CARDINAL
24,CARDINAL
2,CARDINAL
the end of a year,DATE
second,ORDINAL
fourth,ORDINAL
3,CARDINAL
a particular year,DATE
that year,DATE
a later year,DATE
4,CARDINAL
a year,DATE
that year or an earlier year,DATE
second,ORDINAL
fourth,ORDINAL
17,CARDINAL
1,CARDINAL
a year,DATE
the year,DATE
2,CARDINAL
2,CARDINAL
14,CARDINAL
24,CARDINAL
18,DATE
1,CARDINAL
a year,DATE
2,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
1,CARDINAL
24,CARDINAL
six years,DATE
2,CARDINAL
the year,DATE
4,CARDINAL
5,CARDINAL
19,CARDINAL
1,CARDINAL
a year,DATE
the year,DATE
the previous six years,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
1,CARDINAL
3,CARDINAL
5,CARDINAL
16,CARDINAL
24,CARDINAL
2017,DATE
5,CARDINAL
section 194,LAW
6,CARDINAL
a year,DATE
5,CARDINAL
section 25,LAW
5,CARDINAL
section 25,LAW
1,CARDINAL
20,CARDINAL
1,CARDINAL
the year,DATE
the period of year of twelve months,DATE
the first day of april,DATE
the thirty first day of march,DATE
year,DATE
