entity,label
24,CARDINAL
3,CARDINAL
first,ORDINAL
154,CARDINAL
1,CARDINAL
2,CARDINAL
155,CARDINAL
sri lanka,GPE
chapter xv,PERSON
156,CARDINAL
1,CARDINAL
142,CARDINAL
24,CARDINAL
2,CARDINAL
3,CARDINAL
157,CARDINAL
1,CARDINAL
section 151,LAW
2,CARDINAL
158,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
sixty days,DATE
3,CARDINAL
159,CARDINAL
1,CARDINAL
one-half,CARDINAL
monthly,DATE
24,CARDINAL
2,CARDINAL
158,CARDINAL
one-half,CARDINAL
monthly,DATE
3,CARDINAL
1,CARDINAL
2,CARDINAL
chapter xvi,PERSON
160,CARDINAL
152,CARDINAL
161,CARDINAL
five years,DATE
162,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
163,CARDINAL
1,CARDINAL
2,CARDINAL
