entity,label
24,CARDINAL
2,CARDINAL
any year,DATE
that year,DATE
3,CARDINAL
any year,DATE
the year,DATE
chapter vii international,LAW
69,CARDINAL
1,CARDINAL
sri lanka,GPE
a year,DATE
sri lanka,GPE
58,CARDINAL
24,CARDINAL
sri lanka,GPE
the year,DATE
one hundred and eighty,CARDINAL
twelve month,DATE
the year,DATE
sri lanka,GPE
the year,DATE
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
a year,DATE
sri lanka,GPE
the year,DATE
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
a year,DATE
sri lanka,GPE
the year,DATE
sri lanka,GPE
the year,DATE
sri lanka,GPE
one,CARDINAL
24,CARDINAL
4,CARDINAL
sri lanka,GPE
a year,DATE
sri lanka,GPE
sri lanka,GPE
the year,DATE
sri lanka,GPE
70,DATE
1,CARDINAL
sri lanka,GPE
1,CARDINAL
section 69,LAW
one hundred and eighty,CARDINAL
sri lanka,GPE
a year,DATE
the year,DATE
2,CARDINAL
4,CARDINAL
sri lanka,GPE
3,CARDINAL
"4),when",CARDINAL
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
2,CARDINAL
3,CARDINAL
71,CARDINAL
1,CARDINAL
sri lanka,GPE
60,CARDINAL
24,CARDINAL
2,CARDINAL
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
sri lanka,GPE
3,CARDINAL
3,CARDINAL
5,CARDINAL
1,CARDINAL
sri lanka,GPE
6,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
section 19,LAW
24,CARDINAL
72,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
section 6,LAW
3,CARDINAL
section 7,LAW
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
1,CARDINAL
section 13,LAW
section 16,LAW
1,CARDINAL
section 14,LAW
sri lanka,GPE
73,CARDINAL
1,CARDINAL
sri lanka:-,GPE
sri lanka,GPE
62,CARDINAL
24,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
24,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
64,CARDINAL
24,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
24,CARDINAL
74.,CARDINAL
sri lanka,GPE
75,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
3,CARDINAL
4,CARDINAL
fifty percent,PERCENT
4,CARDINAL
3,CARDINAL
66,CARDINAL
24,CARDINAL
5,CARDINAL
76,DATE
1,CARDINAL
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
24,CARDINAL
2017 67,DATE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
two,CARDINAL
between two or,CARDINAL
68,CARDINAL
24,CARDINAL
2017,DATE
1,CARDINAL
two,CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
1,CARDINAL
24,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
section 78,LAW
70,CARDINAL
24,CARDINAL
section 135,LAW
thirty days,DATE
4,CARDINAL
2,CARDINAL
5,CARDINAL
6,CARDINAL
24,CARDINAL
7,CARDINAL
1,CARDINAL
1,CARDINAL
sri lanka,GPE
1,CARDINAL
section 76,LAW
2)(a,CARDINAL
1,CARDINAL
1,CARDINAL
1,CARDINAL
72,CARDINAL
24,CARDINAL
the technical review committee,ORG
4,CARDINAL
section 78,LAW
section 135,LAW
24,CARDINAL
thirty days,DATE
3,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
76,DATE
one,CARDINAL
one,CARDINAL
74,CARDINAL
24,CARDINAL
2017,DATE
two,CARDINAL
78,DATE
1,CARDINAL
four,CARDINAL
two years,DATE
24,CARDINAL
2,CARDINAL
three,CARDINAL
3,CARDINAL
fourteen days,DATE
4,CARDINAL
section 76,LAW
77,DATE
six months of the date,DATE
5,CARDINAL
thirty days,DATE
79,CARDINAL
ten per cent,MONEY
80,DATE
1,CARDINAL
section 53,LAW
76,CARDINAL
24,CARDINAL
2017,DATE
2,CARDINAL
section 57,LAW
a year,DATE
the year,DATE
81,CARDINAL
1,CARDINAL
section 80,LAW
each year,DATE
the year,DATE
2,CARDINAL
two years,DATE
the end of the year,DATE
3,CARDINAL
a year,DATE
3,CARDINAL
section 2,LAW
the preceding year,DATE
the following year,DATE
4,CARDINAL
a year,DATE
24,CARDINAL
1,CARDINAL
section 2,LAW
3,CARDINAL
section 2,LAW
the year,DATE
a year,DATE
82,CARDINAL
1,CARDINAL
section 2,LAW
2,CARDINAL
section 86,LAW
section 90,LAW
section 93,LAW
six months,DATE
the end of the year,DATE
