entity,label
170,CARDINAL
24,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
2,CARDINAL
chapter xx,PERSON
195,CARDINAL
1,CARDINAL
the institute of chartered accountants,ORG
sri lanka,GPE
sri lanka,GPE
2007,DATE
the year,DATE
one hundred million,CARDINAL
24,CARDINAL
2017,DATE
more than one,CARDINAL
twelve months,DATE
the institute of chartered accountants,ORG
sri lanka,GPE
the sri lankan institute,ORG
172,CARDINAL
24,CARDINAL
sri lanka,GPE
24,CARDINAL
sri lanka,GPE
section 97,LAW
174,CARDINAL
24,CARDINAL
2017,DATE
at least twenty,CARDINAL
section 59,LAW
24,CARDINAL
175,CARDINAL
176,CARDINAL
24,CARDINAL
2017,DATE
sri lankan,GPE
sri lanka,GPE
more than fifty,CARDINAL
one,CARDINAL
sri lanka,GPE
24,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
178,CARDINAL
24,CARDINAL
24,CARDINAL
at least six months,DATE
the institute of charted accountants,ORG
sri lanka,GPE
180,CARDINAL
24,CARDINAL
2017,DATE
one,CARDINAL
one,CARDINAL
the three years,DATE
at least two,CARDINAL
three years,DATE
daily,DATE
24,CARDINAL
2017,DATE
182,CARDINAL
24,CARDINAL
4,CARDINAL
fourth,ORDINAL
24,CARDINAL
two,CARDINAL
one,CARDINAL
one,CARDINAL
one,CARDINAL
one,CARDINAL
one,CARDINAL
one,CARDINAL
one,CARDINAL
184,CARDINAL
24,CARDINAL
sri lanka,GPE
first,ORDINAL
first,ORDINAL
section 4,LAW
no.7,GPE
1987,DATE
24,CARDINAL
section 69,LAW
186,CARDINAL
24,CARDINAL
sri lanka,GPE
the year,DATE
sri lanka,GPE
the year,DATE
sixty years old,DATE
the year,DATE
sri lanka,GPE
annual,DATE
"500,000,000",CARDINAL
24,CARDINAL
2017,DATE
one,CARDINAL
one,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
188,CARDINAL
24,CARDINAL
sri lanka,GPE
the central bank of sri lanka,ORG
sri lankan,LOC
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
ninety days,DATE
sri lanka,GPE
one hundred and eighty,CARDINAL
twelve month,DATE
24,CARDINAL
sri lanka,GPE
sri lanka,GPE
zero,CARDINAL
a year,DATE
190,CARDINAL
24,CARDINAL
24,CARDINAL
one,CARDINAL
the united states,GPE
196,CARDINAL
1,CARDINAL
two,CARDINAL
two,CARDINAL
2,CARDINAL
192,CARDINAL
24,CARDINAL
2,CARDINAL
fifty percent,PERCENT
one,CARDINAL
3,CARDINAL
first,ORDINAL
197,CARDINAL
1,CARDINAL
24,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
198,CARDINAL
1,CARDINAL
194,CARDINAL
24,CARDINAL
2,CARDINAL
treasury,ORG
3,CARDINAL
4,CARDINAL
24,CARDINAL
5,CARDINAL
199,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
3,CARDINAL
2,CARDINAL
4,CARDINAL
sri lanka,GPE
sri lanka,GPE
