entity,label
24,CARDINAL
2017,DATE
2,CARDINAL
first,ORDINAL
ninety days,DATE
3,CARDINAL
4,CARDINAL
chapter xiv,PERSON
145,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
chapter xii,LAW
3,CARDINAL
132,CARDINAL
24,CARDINAL
4,CARDINAL
sri lanka,GPE
5,CARDINAL
146,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
sri lanka,GPE
sri lanka,GPE
24,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
more than one,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
sri lanka,GPE
4,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
one month,DATE
sri lanka,GPE
one month,DATE
5,CARDINAL
1,CARDINAL
6,CARDINAL
134,CARDINAL
24,CARDINAL
7,CARDINAL
9,CARDINAL
6,CARDINAL
8),CARDINAL
9,CARDINAL
10,CARDINAL
9,CARDINAL
11,CARDINAL
24,CARDINAL
135,CARDINAL
12,CARDINAL
two,CARDINAL
13,CARDINAL
one,CARDINAL
14,CARDINAL
136,CARDINAL
24,CARDINAL
15,CARDINAL
16,CARDINAL
more than one,CARDINAL
147,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
148,CARDINAL
1,CARDINAL
24,CARDINAL
2,CARDINAL
the preceding year,DATE
one year,DATE
3,CARDINAL
149,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
6,CARDINAL
138,CARDINAL
24,CARDINAL
7,CARDINAL
six months,DATE
150,CARDINAL
1,CARDINAL
six months,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
four years,DATE
151,CARDINAL
1,CARDINAL
24,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
thirty days,DATE
4,CARDINAL
1,CARDINAL
5,CARDINAL
152,CARDINAL
1,CARDINAL
2,CARDINAL
140,CARDINAL
24,CARDINAL
twenty one days,DATE
3,CARDINAL
twenty-one days,DATE
4,CARDINAL
3,CARDINAL
153,CARDINAL
1,CARDINAL
section 170,LAW
2,CARDINAL
sri lanka,GPE
24,CARDINAL
3,CARDINAL
first,ORDINAL
154,CARDINAL
1,CARDINAL
2,CARDINAL
155,CARDINAL
sri lanka,GPE
chapter xv,PERSON
156,CARDINAL
1,CARDINAL
