entity,label
24,CARDINAL
5,CARDINAL
135,CARDINAL
5,CARDINAL
1,CARDINAL
6,CARDINAL
1,CARDINAL
ninety days,DATE
the ninetieth day,DATE
chapter xiii,LAW
137,CARDINAL
138,CARDINAL
128,CARDINAL
24,CARDINAL
2017,DATE
139,CARDINAL
1,CARDINAL
2,CARDINAL
later than thirty days,DATE
3,CARDINAL
4,CARDINAL
thirty days,DATE
5,CARDINAL
taxpayer,ORG
6,CARDINAL
5,CARDINAL
24,CARDINAL
8),CARDINAL
2,CARDINAL
sri lanka,GPE
thirty days,DATE
2,CARDINAL
140,CARDINAL
1,CARDINAL
2,CARDINAL
first,ORDINAL
ninety days,DATE
3,CARDINAL
4,CARDINAL
5,CARDINAL
thirty days,DATE
section 139,LAW
130,CARDINAL
24,CARDINAL
6,CARDINAL
5,CARDINAL
sri lanka,GPE
thirty days,DATE
2,CARDINAL
141,CARDINAL
142,CARDINAL
143,CARDINAL
1,CARDINAL
2,CARDINAL
section 139,LAW
2,CARDINAL
1,CARDINAL
section 136,LAW
144,CARDINAL
1,CARDINAL
one month,DATE
24,CARDINAL
2017,DATE
2,CARDINAL
first,ORDINAL
ninety days,DATE
3,CARDINAL
4,CARDINAL
chapter xiv,PERSON
145,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
chapter xii,LAW
3,CARDINAL
