entity,label
158,CARDINAL
24,CARDINAL
176,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
24,CARDINAL
7,CARDINAL
6,CARDINAL
8),CARDINAL
five years,DATE
section 180,LAW
9,CARDINAL
10,CARDINAL
"each day,",DATE
month,DATE
"that day,",DATE
month,DATE
177,CARDINAL
102,CARDINAL
103(5,CARDINAL
146(4,CARDINAL
fifty thousand,CARDINAL
178,CARDINAL
1,CARDINAL
five per cent,MONEY
one per cent,MONEY
each month,DATE
a month,DATE
160,CARDINAL
24,CARDINAL
fifty thousand,CARDINAL
ten thousand,CARDINAL
each month,DATE
a month,DATE
2,CARDINAL
1,CARDINAL
four hundred thousand,CARDINAL
3,CARDINAL
179,CARDINAL
1,CARDINAL
fourteen days,DATE
twenty per cent,MONEY
2,CARDINAL
fourteen days,DATE
ten per cent,MONEY
3,CARDINAL
section 151,LAW
1,CARDINAL
180,CARDINAL
twenty five per cent,MONEY
24,CARDINAL
five per cent,MONEY
ten million,CARDINAL
181,CARDINAL
1,CARDINAL
2,CARDINAL
fifty thousand,CARDINAL
3,CARDINAL
4,CARDINAL
162,CARDINAL
24,CARDINAL
2017,DATE
5,CARDINAL
6,CARDINAL
section 180,LAW
182,CARDINAL
1,CARDINAL
each month,DATE
a month,DATE
2,CARDINAL
one thousand,CARDINAL
each day,DATE
3,CARDINAL
24,CARDINAL
2017,DATE
4,CARDINAL
ten thousand,CARDINAL
183,CARDINAL
twenty five,CARDINAL
third,ORDINAL
the third party,ORG
184,CARDINAL
section 76,LAW
two hundred and fifty thousand,CARDINAL
two,CARDINAL
one hundred thousand,CARDINAL
164,CARDINAL
24,CARDINAL
two hundred,CARDINAL
185,CARDINAL
1,CARDINAL
one million,CARDINAL
2,CARDINAL
thirty days,DATE
186,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
