entity,label
24,CARDINAL
2017,DATE
109 chapter,QUANTITY
120,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
6,CARDINAL
five years,DATE
110,CARDINAL
24,CARDINAL
five years,DATE
8),CARDINAL
english,LANGUAGE
9,CARDINAL
english,LANGUAGE
sri lankan,GPE
10,CARDINAL
121,CARDINAL
122,CARDINAL
1,CARDINAL
normal business hours,TIME
24,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
less than twenty-four hours,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
112,CARDINAL
24,CARDINAL
5,CARDINAL
6,CARDINAL
8),CARDINAL
9,CARDINAL
10,CARDINAL
11,CARDINAL
fourteen days,DATE
24,CARDINAL
113,CARDINAL
12,CARDINAL
13,CARDINAL
14,CARDINAL
123,CARDINAL
1,CARDINAL
114,CARDINAL
24,CARDINAL
2,CARDINAL
1,CARDINAL
annually,DATE
3,CARDINAL
1,CARDINAL
24,CARDINAL
4,CARDINAL
5,CARDINAL
8),CARDINAL
124,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
116,CARDINAL
24,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
125,CARDINAL
1,CARDINAL
2,CARDINAL
24,CARDINAL
3,CARDINAL
notice-,PERSON
4,CARDINAL
118,CARDINAL
24,CARDINAL
5,CARDINAL
6,CARDINAL
8),CARDINAL
six months,DATE
chapter xi tax returns tax returns,LAW
126,CARDINAL
1,CARDINAL
2,CARDINAL
