entity,label
24,CARDINAL
2,CARDINAL
158,CARDINAL
one-half,CARDINAL
monthly,DATE
3,CARDINAL
1,CARDINAL
2,CARDINAL
chapter xvi,PERSON
160,CARDINAL
152,CARDINAL
161,CARDINAL
five years,DATE
162,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
163,CARDINAL
1,CARDINAL
2,CARDINAL
144,CARDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
lien,PERSON
164,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
midnight,TIME
3,CARDINAL
lien,PERSON
lien,PERSON
first,ORDINAL
24,CARDINAL
4,CARDINAL
152,CARDINAL
5,CARDINAL
lien,PERSON
6,CARDINAL
at least fifteen days,DATE
6,CARDINAL
8),CARDINAL
lien,PERSON
9,CARDINAL
165,CARDINAL
1,CARDINAL
section 164,LAW
thirty days,DATE
2,CARDINAL
146,CARDINAL
24,CARDINAL
2017,DATE
3,CARDINAL
section 152,LAW
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
five years,DATE
166,CARDINAL
1,CARDINAL
2,CARDINAL
first,ORDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
fourteen days,DATE
5,CARDINAL
6,CARDINAL
fourteen day,DATE
4,CARDINAL
148,CARDINAL
24,CARDINAL
2017,DATE
8),CARDINAL
sri lanka,GPE
9,CARDINAL
the day,DATE
10,CARDINAL
11,CARDINAL
10,CARDINAL
12,CARDINAL
13,CARDINAL
sri lanka,GPE
24,CARDINAL
167,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
3,CARDINAL
sri lanka,GPE
1,CARDINAL
1,CARDINAL
150,CARDINAL
24,CARDINAL
2017,DATE
sri lanka,GPE
seventy two hours,TIME
4,CARDINAL
sri lanka,GPE
168,CARDINAL
24,CARDINAL
2017,DATE
151,PRODUCT
169,CARDINAL
section 152,LAW
170,CARDINAL
1,CARDINAL
third,ORDINAL
third,ORDINAL
2,CARDINAL
third,ORDINAL
three,CARDINAL
third,ORDINAL
3,CARDINAL
third,ORDINAL
152,CARDINAL
24,CARDINAL
4,CARDINAL
fifteen days,DATE
the date,DATE
third,ORDINAL
5,CARDINAL
1,CARDINAL
third,ORDINAL
6,CARDINAL
third,ORDINAL
third,ORDINAL
third,ORDINAL
8),CARDINAL
third,ORDINAL
third,ORDINAL
third,ORDINAL
9,CARDINAL
24,CARDINAL
10,CARDINAL
first,ORDINAL
five thousand,CARDINAL
9,CARDINAL
11,CARDINAL
third,ORDINAL
third,ORDINAL
third,ORDINAL
12,CARDINAL
third,ORDINAL
171,CARDINAL
1,CARDINAL
third,ORDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
third,ORDINAL
third,ORDINAL
5,CARDINAL
third,ORDINAL
154,CARDINAL
24,CARDINAL
third,ORDINAL
section 170,LAW
6,CARDINAL
third,ORDINAL
third,ORDINAL
third,ORDINAL
third,ORDINAL
third,ORDINAL
third,ORDINAL
8),CARDINAL
third,ORDINAL
third,ORDINAL
172,CARDINAL
1,CARDINAL
2,CARDINAL
24,CARDINAL
3,CARDINAL
2,CARDINAL
twenty four hours,TIME
4,CARDINAL
1,CARDINAL
5,CARDINAL
ninety days,DATE
6,CARDINAL
fifteen days,DATE
thirty days,DATE
8),CARDINAL
5,CARDINAL
9,CARDINAL
156,CARDINAL
24,CARDINAL
2017,DATE
10,CARDINAL
173,CARDINAL
1,CARDINAL
the period of,DATE
one year,DATE
2,CARDINAL
1,CARDINAL
148,CARDINAL
174,CARDINAL
1,CARDINAL
transferee,CARDINAL
2,CARDINAL
1,CARDINAL
175,CARDINAL
1,CARDINAL
fourteen days,DATE
2,CARDINAL
24,CARDINAL
2017,DATE
3,CARDINAL
sri lanka,GPE
4,CARDINAL
2,CARDINAL
5,CARDINAL
2,CARDINAL
4,CARDINAL
6,CARDINAL
sri lanka,GPE
158,CARDINAL
24,CARDINAL
176,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
