entity,label
24,CARDINAL
sixth,ORDINAL
1,CARDINAL
1,CARDINAL
sri lanka,GPE
4,CARDINAL
a year,DATE
fourth,ORDINAL
2,CARDINAL
100%,PERCENT
03 million,CARDINAL
4,CARDINAL
a year,DATE
that year,DATE
sri lanka,GPE
3,CARDINAL
200%,PERCENT
3 million,CARDINAL
4,CARDINAL
a year,DATE
that year,DATE
4,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
fourth,ORDINAL
5,CARDINAL
a particular year,DATE
that year,DATE
a later year,DATE
2,CARDINAL
1,CARDINAL
a year,DATE
a year,DATE
220,CARDINAL
24,CARDINAL
the year,DATE
2,CARDINAL
3,CARDINAL
1,CARDINAL
three years,DATE
4,CARDINAL
section 67,LAW
2,CARDINAL
fourteen percent,PERCENT
three years,DATE
5,CARDINAL
1,CARDINAL
a year,DATE
35%,PERCENT
the year,DATE
first,ORDINAL
50,CARDINAL
the year,DATE
section 86,LAW
2,CARDINAL
1,CARDINAL
24,CARDINAL
3,CARDINAL
year,DATE
6,CARDINAL
first,ORDINAL
"october 1, 2017",DATE
sri lanka,GPE
zero percent,PERCENT
three years,DATE
7,CARDINAL
first,ORDINAL
"november 10, 2016",DATE
fourteen percent,PERCENT
the three years,DATE
8,CARDINAL
a year,DATE
100%,PERCENT
the year,DATE
section 15,LAW
three years,DATE
222,CARDINAL
24,CARDINAL
