entity,label
24,CARDINAL
3,CARDINAL
a period of two years,DATE
1,CARDINAL
26,CARDINAL
2003,DATE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
26,CARDINAL
2003,DATE
3,CARDINAL
1,CARDINAL
first,ORDINAL
54,CARDINAL
24,CARDINAL
one hundred percent,PERCENT
section 16,LAW
the year of first,DATE
such year,DATE
any year,DATE
first,ORDINAL
66,CARDINAL
1,CARDINAL
a year,DATE
2,CARDINAL
24,CARDINAL
2017,DATE
the central bank of sri lanka,ORG
3,CARDINAL
67,CARDINAL
1,CARDINAL
section 19,LAW
2,CARDINAL
1,CARDINAL
a given year,DATE
3,CARDINAL
56,CARDINAL
24,CARDINAL
2017,DATE
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
sri lanka,GPE
1,CARDINAL
2,CARDINAL
sri lanka,GPE
68,DATE
1,CARDINAL
three percent,PERCENT
each year,DATE
first,ORDINAL
24,CARDINAL
2,CARDINAL
any year,DATE
that year,DATE
3,CARDINAL
any year,DATE
the year,DATE
chapter vii international,LAW
69,CARDINAL
1,CARDINAL
sri lanka,GPE
a year,DATE
sri lanka,GPE
