entity,label
24,CARDINAL
1,CARDINAL
section 2,LAW
3,CARDINAL
section 2,LAW
the year,DATE
a year,DATE
82,CARDINAL
1,CARDINAL
section 2,LAW
2,CARDINAL
section 86,LAW
section 90,LAW
section 93,LAW
six months,DATE
the end of the year,DATE
78,CARDINAL
24,CARDINAL
section 93,LAW
1,CARDINAL
83,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
84,DATE
1,CARDINAL
3,CARDINAL
10,CARDINAL
first,ORDINAL
24,CARDINAL
sri lanka,GPE
sri lanka,GPE
the partnership year,DATE
9,CARDINAL
section 53,LAW
sri lanka,GPE
2,CARDINAL
1993,DATE
10,CARDINAL
first,ORDINAL
3,CARDINAL
section 83,LAW
chapter 420,LAW
treasury,ORG
chapter 417,LAW
section 9,LAW
80,CARDINAL
24,CARDINAL
2017,DATE
85,DATE
1,CARDINAL
3,CARDINAL
10,CARDINAL
first,ORDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
3,CARDINAL
section 73,LAW
3,CARDINAL
section 83,LAW
24,CARDINAL
13,CARDINAL
2006,DATE
86,DATE
1,CARDINAL
fifteen days,DATE
the month,DATE
2,CARDINAL
thirty days,DATE
the end of each year ending,DATE
the thirty first day of march,DATE
annual,DATE
3,CARDINAL
82,CARDINAL
24,CARDINAL
4,CARDINAL
fifteen days,DATE
5,CARDINAL
6,CARDINAL
3,CARDINAL
87,DATE
1,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
thirty days,DATE
the end of the month,DATE
24,CARDINAL
4,CARDINAL
section 83,LAW
the year,DATE
the thirtieth day of april of that year or,DATE
the year,DATE
no more than thirty days,DATE
5,CARDINAL
section 84,LAW
88,CARDINAL
1,CARDINAL
2,CARDINAL
fifth,ORDINAL
84,CARDINAL
24,CARDINAL
2017,DATE
2,CARDINAL
section 84,LAW
3,CARDINAL
section 85,LAW
2,CARDINAL
1,CARDINAL
section 2:-,LAW
3,CARDINAL
4,CARDINAL
section 86,LAW
3,CARDINAL
2,CARDINAL
section 84,LAW
3,CARDINAL
section 85,LAW
1,CARDINAL
section 2,LAW
1,CARDINAL
section 2,LAW
89,DATE
1,CARDINAL
3,CARDINAL
4,CARDINAL
section 86,LAW
24,CARDINAL
2,CARDINAL
1,CARDINAL
the year,DATE
90,CARDINAL
1,CARDINAL
quarterly,DATE
quarterly,DATE
a year,DATE
section 83,LAW
2,CARDINAL
year,DATE
twelve month period ending on the thirty first day of march,DATE
the fifteenth day,DATE
august,DATE
that year,DATE
the fifteenth day,DATE
year,DATE
the fifteenth day,DATE
three-month,DATE
the beginning of each year,DATE
the fifteenth day,DATE
the end of each year,DATE
one,CARDINAL
three-month,DATE
3,CARDINAL
4,CARDINAL
5,CARDINAL
a year 86,DATE
24,CARDINAL
2017,DATE
section 91 or 92,LAW
the year,DATE
the year,DATE
the year,DATE
the year,DATE
the year,DATE
3,CARDINAL
4,CARDINAL
section 86,LAW
the year,DATE
24,CARDINAL
4,CARDINAL
5,CARDINAL
a year,DATE
the year,DATE
91,CARDINAL
1,CARDINAL
year,DATE
section 90,LAW
first,ORDINAL
the year,DATE
2,CARDINAL
1,CARDINAL
the year,DATE
the year,DATE
88,CARDINAL
24,CARDINAL
2017,DATE
1,CARDINAL
section 2,LAW
3,CARDINAL
6,CARDINAL
3,CARDINAL
section 92,LAW
2,CARDINAL
the year,DATE
4,CARDINAL
a year,DATE
2,CARDINAL
section 80,LAW
the year,DATE
5,CARDINAL
1,CARDINAL
the year,DATE
6,CARDINAL
5,CARDINAL
the year,DATE
under section 90,DATE
92,CARDINAL
1,CARDINAL
section 91,LAW
24,CARDINAL
2,CARDINAL
1,CARDINAL
the year,DATE
the previous year,DATE
3,CARDINAL
2,CARDINAL
section 90,LAW
the year,DATE
93,DATE
1,CARDINAL
section 94,LAW
2,CARDINAL
than eight months,DATE
the end of each year,DATE
the year,DATE
2,CARDINAL
a year,DATE
the year,DATE
the year,DATE
90,CARDINAL
24,CARDINAL
2017,DATE
1,CARDINAL
section 2,LAW
the year,DATE
section 89,LAW
90,CARDINAL
the year,DATE
section 87,LAW
the year,DATE
3,CARDINAL
later than one month,DATE
4,CARDINAL
24,CARDINAL
1,CARDINAL
section 2,LAW
the year,DATE
section 90,LAW
94,CARDINAL
1,CARDINAL
2,CARDINAL
a year,DATE
section 93,LAW
the year,DATE
1,CARDINAL
section 2,LAW
the year,DATE
1,CARDINAL
section 2,LAW
section 83,LAW
the year,DATE
1,CARDINAL
section 2,LAW
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
the year,DATE
95,CARDINAL
section 93,LAW
92,CARDINAL
24,CARDINAL
2017,DATE
96,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
more than one,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
