entity,label
196,CARDINAL
24,CARDINAL
5,CARDINAL
sri lanka,GPE
200,CARDINAL
chapter xxii,LAW
201,CARDINAL
1,CARDINAL
sixth,ORDINAL
24,CARDINAL
2,CARDINAL
sixth,ORDINAL
five years,DATE
3,CARDINAL
sixth,ORDINAL
a year,DATE
202,CARDINAL
1,CARDINAL
2006,DATE
2,CARDINAL
3,CARDINAL
198,CARDINAL
24,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
203,CARDINAL
1,CARDINAL
years,DATE
2,CARDINAL
a previous year,DATE
24,CARDINAL
199,CARDINAL
3,CARDINAL
year,DATE
twelve months,DATE
the year ending 31 march,DATE
section 20(2,LAW
4,CARDINAL
"september 30, 2017",DATE
5,CARDINAL
section 90,LAW
the first year,DATE
1 april 2017,DATE
that year,DATE
the previous year,DATE
five percent,PERCENT
quarterly,DATE
section 90,LAW
the previous year,DATE
200,CARDINAL
24,CARDINAL
2017,DATE
section 2,LAW
1,CARDINAL
1,CARDINAL
2,CARDINAL
a year,DATE
"600,000 4%",PERCENT
"600,000",CARDINAL
"24,000",CARDINAL
8%,PERCENT
"1,200,000",CARDINAL
"600,000",CARDINAL
"1,200,000",CARDINAL
"72,000",CARDINAL
12%,PERCENT
"1,800,000",CARDINAL
"1,200,000",CARDINAL
"1,800,000",CARDINAL
"144,000",CARDINAL
16%,PERCENT
"2,400,000",CARDINAL
"1,800,000",CARDINAL
"2,400,000",CARDINAL
"240,000 plus 20%",PERCENT
"3,000,000",CARDINAL
"2,400,000",CARDINAL
"3,000,000 rs",QUANTITY
"360,000",CARDINAL
24%,PERCENT
"3,000,000",CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
10%,PERCENT
3,CARDINAL
a year,DATE
