entity,label
210,CARDINAL
24,CARDINAL
section 9,LAW
third,ORDINAL
sri lanka,GPE
sri lanka,GPE
1978,DATE
buddhist,NORP
pali university of sri lanka,ORG
1981,DATE
2007,DATE
the ministry of education,ORG
5,CARDINAL
1972,DATE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
24,CARDINAL
no.46,GPE
1980,DATE
"april 1, 1987",DATE
the united nations,ORG
the united nations,ORG
"50,000",CARDINAL
the year,DATE
"600,000",CARDINAL
two,CARDINAL
"50,000",CARDINAL
the year,DATE
"600,000",CARDINAL
the year,DATE
"600,000",CARDINAL
212,CARDINAL
24,CARDINAL
the three years,DATE
at least two,CARDINAL
three years,DATE
daily,DATE
the securities and exchange commission,ORG
sri lanka,GPE
sri lanka,GPE
1978,DATE
the national defence fund act,ORG
9,CARDINAL
1985,DATE
sri lanka,GPE
"october 21, 2008",DATE
sri lanka,GPE
less than ten years,DATE
"500,000",CARDINAL
section 84,LAW
sri lanka,GPE
24,CARDINAL
"march 2, 1815",DATE
10 percent,PERCENT
10 percent,PERCENT
2,CARDINAL
section 84,LAW
214,CARDINAL
24,CARDINAL
1.,CARDINAL
1,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
2,CARDINAL
the end of a year,DATE
2.,CARDINAL
1,CARDINAL
a year,DATE
the year,DATE
2,CARDINAL
2,CARDINAL
a year,DATE
