entity,label
24,CARDINAL
chapter v,LAW
52,CARDINAL
1,CARDINAL
a year,DATE
section 3,LAW
fifth,ORDINAL
2,CARDINAL
sri lanka,GPE
a year,DATE
section 3,LAW
fifth,ORDINAL
3,CARDINAL
sri lanka,GPE
a year,DATE
sri lanka,GPE
section 3,LAW
2(a,CARDINAL
fifth,ORDINAL
53,DATE
1,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
44,CARDINAL
24,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
section 55:-,LAW
24,CARDINAL
8),CARDINAL
section 63,LAW
at least two,CARDINAL
9,CARDINAL
sri lanka,GPE
sri lanka,GPE
section 84,LAW
10,CARDINAL
first,ORDINAL
54,DATE
1,CARDINAL
a year,DATE
that year,DATE
6,CARDINAL
7,CARDINAL
2,CARDINAL
a year,DATE
the year,DATE
5,CARDINAL
section 19,LAW
55,CARDINAL
1,CARDINAL
a year,DATE
year,DATE
year,DATE
the year,DATE
the last day,DATE
the year,DATE
2,CARDINAL
section 56,LAW
46,DATE
24,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
section 53,LAW
56,DATE
1,CARDINAL
1,CARDINAL
section 55,LAW
5,CARDINAL
section 55,LAW
24,CARDINAL
2,CARDINAL
1,CARDINAL
section 55,LAW
5,CARDINAL
section 55,LAW
57,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
the relevant year,DATE
48,CARDINAL
24,CARDINAL
2017,DATE
the last day,DATE
the year,DATE
the end of the year,DATE
3,CARDINAL
2,CARDINAL
2,CARDINAL
24,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
58,DATE
1,CARDINAL
1,CARDINAL
section 57,LAW
2,CARDINAL
section 57,LAW
2,CARDINAL
59,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
50,CARDINAL
24,CARDINAL
3,CARDINAL
section 11,LAW
4,CARDINAL
section 57,LAW
60,CARDINAL
1,CARDINAL
2,CARDINAL
24,CARDINAL
3,CARDINAL
61,CARDINAL
1,CARDINAL
2,CARDINAL
62,CARDINAL
1,CARDINAL
sri lanka,GPE
the year,DATE
2,CARDINAL
1,CARDINAL
first,ORDINAL
the thirtieth day,DATE
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
52,CARDINAL
24,CARDINAL
2017,DATE
63,CARDINAL
section 46,LAW
transferee,CARDINAL
64,CARDINAL
1,CARDINAL
more than fifty percent,PERCENT
the previous three years,DATE
3,CARDINAL
section 18,LAW
1,CARDINAL
section 19,LAW
2,CARDINAL
4,CARDINAL
5,CARDINAL
section 24,LAW
5,CARDINAL
section 25,LAW
a year,DATE
2,CARDINAL
1,CARDINAL
a year,DATE
the year,DATE
24,CARDINAL
3,CARDINAL
a period of two years,DATE
1,CARDINAL
26,CARDINAL
2003,DATE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
26,CARDINAL
2003,DATE
3,CARDINAL
1,CARDINAL
first,ORDINAL
