entity,label
2,CARDINAL
2,CARDINAL
2025,DATE
a quarter,DATE
"april 1, 2025",DATE
"april 1, 2025",DATE
one hundred and eighty thousand,CARDINAL
a year,DATE
forty five thousand,CARDINAL
any quarter,DATE
2,CARDINAL
3,CARDINAL
"april 1, 2024",DATE
3,CARDINAL
3,CARDINAL
4,CARDINAL
"april 1, 2024",DATE
thirty months,DATE
the relevant year,DATE
3,CARDINAL
first,ORDINAL
first,ORDINAL
1,CARDINAL
1,CARDINAL
1c,CARDINAL
2,CARDINAL
2025 3,DATE
"april 1, 2023",DATE
"april 1, 2023",DATE
"april 1, 2025",DATE
1c,CARDINAL
1d,CARDINAL
2,CARDINAL
a year,DATE
"april 1, 2025",DATE
6%,PERCENT
"1,000,000",CARDINAL
rs.0,GPE
"60,000",CARDINAL
"1,000,000 18%",PERCENT
"1,500,000 rs",QUANTITY
"1,000,000",CARDINAL
"150,000 plus rs",QUANTITY
"1,500,000",CARDINAL
24%,PERCENT
"2,000,000 rs",QUANTITY
"1,500,000",CARDINAL
"270,000 plus rs",QUANTITY
"2,000,000 30%",PERCENT
"2,500,000 rs",QUANTITY
"2,000,000",CARDINAL
