entity,label
2,CARDINAL
2025 3,DATE
"april 1, 2023",DATE
"april 1, 2023",DATE
"april 1, 2025",DATE
1c,CARDINAL
1d,CARDINAL
2,CARDINAL
a year,DATE
"april 1, 2025",DATE
6%,PERCENT
"1,000,000",CARDINAL
rs.0,GPE
"60,000",CARDINAL
"1,000,000 18%",PERCENT
"1,500,000 rs",QUANTITY
"1,000,000",CARDINAL
"150,000 plus rs",QUANTITY
"1,500,000",CARDINAL
24%,PERCENT
"2,000,000 rs",QUANTITY
"1,500,000",CARDINAL
"270,000 plus rs",QUANTITY
"2,000,000 30%",PERCENT
"2,500,000 rs",QUANTITY
"2,000,000 4",CARDINAL
2,CARDINAL
2025,DATE
"420,000",CARDINAL
"2,500,000 36%",PERCENT
2,CARDINAL
4,CARDINAL
40%,PERCENT
"april 1, 2025",DATE
45%,PERCENT
"april 1, 2025",DATE
5,CARDINAL
6,CARDINAL
1d,CARDINAL
15%,PERCENT
"april 1, 2025",DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
2025 5,DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
2a,CARDINAL
2b,CARDINAL
3,CARDINAL
2,CARDINAL
2a,CARDINAL
2b,CARDINAL
2c,CARDINAL
3,CARDINAL
2b,CARDINAL
"april 1, 2023",DATE
"april 1, 2023",DATE
"april 1, 2025",DATE
2b,CARDINAL
2c,CARDINAL
any year,DATE
"april 1, 2025",DATE
2,CARDINAL
2025,DATE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
-15%,PERCENT
sri lanka,GPE
15%,PERCENT
45%,PERCENT
45%,PERCENT
3,CARDINAL
1,CARDINAL
10,CARDINAL
"january 1, 2023",DATE
"april 1, 2025",DATE
5%,PERCENT
"april 1, 2025",DATE
10%,PERCENT
