entity,label
6,CARDINAL
2,CARDINAL
2025,DATE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
-15%,PERCENT
sri lanka,GPE
15%,PERCENT
45%,PERCENT
45%,PERCENT
3,CARDINAL
1,CARDINAL
10,CARDINAL
"january 1, 2023",DATE
"april 1, 2025",DATE
5%,PERCENT
"april 1, 2025",DATE
10%,PERCENT
2,CARDINAL
2025 7 4,DATE
third,ORDINAL
third,ORDINAL
1,CARDINAL
"january 1, 2020",DATE
"january 1, 2020",DATE
"april 1, 2025",DATE
2,CARDINAL
"january 1, 2020",DATE
"january 1, 2020",DATE
"april 1, 2025",DATE
5,CARDINAL
fifth,ORDINAL
2,CARDINAL
fifth,ORDINAL
1,CARDINAL
"april 1, 2022",DATE
"april 1, 2022",DATE
2,CARDINAL
"april 1, 2023",DATE
"april 1, 2023",DATE
"april 1, 2025",DATE
3,CARDINAL
"1,800,000",CARDINAL
each year,DATE
"april 1, 2025",DATE
6,CARDINAL
