entity,label
2,CARDINAL
2025 1,DATE
20th of march,DATE
2025,DATE
82/2024,CARDINAL
24,CARDINAL
2017,DATE
democratic,NORP
sri lanka,GPE
1,CARDINAL
1,CARDINAL
2,CARDINAL
2025,DATE
2,CARDINAL
"april 1, 2025",DATE
2,CARDINAL
24,CARDINAL
1,CARDINAL
2a,CARDINAL
one hundred thousand,CARDINAL
sixty thousand,CARDINAL
a year,DATE
"april 1, 2025",DATE
one hundred and eighty thousand,CARDINAL
a year,DATE
"april 1, 2025",DATE
twenty five thousand,QUANTITY
any quarter,DATE
sixty thousand,CARDINAL
a year,DATE
fifteen thousand,CARDINAL
2,CARDINAL
2,CARDINAL
2025,DATE
a quarter,DATE
"april 1, 2025",DATE
"april 1, 2025",DATE
one hundred and eighty thousand,CARDINAL
a year,DATE
forty five thousand,CARDINAL
any quarter,DATE
2,CARDINAL
3,CARDINAL
"april 1, 2024",DATE
3,CARDINAL
3,CARDINAL
4,CARDINAL
"april 1, 2024",DATE
thirty months,DATE
the relevant year,DATE
3,CARDINAL
first,ORDINAL
first,ORDINAL
1,CARDINAL
1,CARDINAL
1c,CARDINAL
