file1,file2,label
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ADMINISTRATION PROVISIONS.embedding.npy,../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__TAX PAYMENT PROCEDURE.embedding.npy,1
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ADMINISTRATION PROVISIONS.embedding.npy,../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__INCOME TAX BASE.embedding.npy,1
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ADMINISTRATION PROVISIONS.embedding.npy,../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ASSETS AND LIABILITIES.embedding.npy,1
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ADMINISTRATION PROVISIONS.embedding.npy,../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__IMPOSITION OF INCOME TAX.embedding.npy,0
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ADMINISTRATION PROVISIONS.embedding.npy,../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__RECOVERY OF TAX.embedding.npy,0
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ADMINISTRATION PROVISIONS.embedding.npy,../data/subdomains/tax_law\03. Inland Revenue (Amendment) Act No. 2 of 2025__Amendment of the First Schedule.embedding.npy,0
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ASSESSMENTS.embedding.npy,../data/subdomains/tax_law\03. Inland Revenue (Amendment) Act No. 2 of 2025__Amendment of Section 150.embedding.npy,1
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ASSESSMENTS.embedding.npy,../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__OBJECTIONS AND APPEALS.embedding.npy,1
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ASSESSMENTS.embedding.npy,../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__RECOVERY OF TAX.embedding.npy,1
../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__ASSESSMENTS.embedding.npy,../data/subdomains/tax_law\02. Inland Revenue Act_No_24_2017_E__CRIMINAL PROCEEDINGS.embedding.npy,0
