entity,label
4,CARDINAL
five,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
6,CARDINAL
2,CARDINAL
8),CARDINAL
christian,NORP
103,CARDINAL
two hundred,CARDINAL
105,CARDINAL
three years,DATE
104,CARDINAL
1,CARDINAL
4,CARDINAL
1)(d,CARDINAL
section 103,LAW
the three years,DATE
ten,CARDINAL
106,CARDINAL
section 102,LAW
109,CARDINAL
buddhist,NORP
buddhist,NORP
muslim,NORP
mosques,FAC
muslim,NORP
mosques,FAC
110,CARDINAL
1,CARDINAL
one,CARDINAL
107,CARDINAL
2,CARDINAL
3,CARDINAL
108,CARDINAL
4,CARDINAL
