entity,label
d.,NORP
ford,ORG
7,CARDINAL
10,CARDINAL
8,CARDINAL
11,CARDINAL
9,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
10,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
one,CARDINAL
two,CARDINAL
12,CARDINAL
two,CARDINAL
one,CARDINAL
one,CARDINAL
two,CARDINAL
13,CARDINAL
g•,NORP
14,CARDINAL
b. allows,PERSON
15,CARDINAL
16,CARDINAL
17,CARDINAL
london,GPE
london,GPE
2,CARDINAL
21,CARDINAL
section 20,LAW
one,CARDINAL
the national savings bank,ORG
national savings bank,ORG
2.7,CARDINAL
1968,DATE
18,CARDINAL
§,NORP
1971,DATE
one,CARDINAL
22,CARDINAL
19,CARDINAL
five years,DATE
six years,DATE
thai,NORP
20,CARDINAL
b. trust money,ORG
23,CARDINAL
1,CARDINAL
an early date,DATE
sri lanka,GPE
first,ORDINAL
sri lanka,GPE
2,CARDINAL
years,DATE
one-third,CARDINAL
one-half,CARDINAL
•(b,ORG
sri lanka,GPE
96,CARDINAL
half-yearly,DATE
section 20,LAW
half-yearly,DATE
3,CARDINAL
six,CARDINAL
24,CARDINAL
25,CARDINAL
26,CARDINAL
1,CARDINAL
13,CARDINAL
15,CARDINAL
one,CARDINAL
section 20,LAW
section 20,LAW
