entity,label
96,CARDINAL
half-yearly,DATE
section 20,LAW
half-yearly,DATE
3,CARDINAL
six,CARDINAL
24,CARDINAL
25,CARDINAL
26,CARDINAL
1,CARDINAL
13,CARDINAL
15,CARDINAL
one,CARDINAL
section 20,LAW
section 20,LAW
2,CARDINAL
30,CARDINAL
23,CARDINAL
26,CARDINAL
d.,NORP
31,CARDINAL
two years,DATE
27,CARDINAL
1,CARDINAL
one,CARDINAL
chapter,PERSON
32,CARDINAL
33,CARDINAL
1,CARDINAL
2,CARDINAL
28,CARDINAL
2,CARDINAL
first,ORDINAL
29,CARDINAL
3,CARDINAL
1v/212,CARDINAL
4,CARDINAL
37,CARDINAL
instrument of trust,ORG
34,CARDINAL
1,CARDINAL
transferee,CARDINAL
17,CARDINAL
2,CARDINAL
38,DATE
1,CARDINAL
the end of ten years,DATE
2,CARDINAL
35,CARDINAL
1,CARDINAL
39,DATE
2,CARDINAL
one,CARDINAL
40,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
36,CARDINAL
2,CARDINAL
section 20,LAW
the then current year,DATE
3,CARDINAL
4,CARDINAL
41,CARDINAL
42,CARDINAL
1,CARDINAL
section 20,LAW
44,DATE
2,CARDINAL
3,CARDINAL
2,CARDINAL
1,CARDINAL
45,CARDINAL
1,CARDINAL
two,CARDINAL
only one,CARDINAL
43,CARDINAL
1,CARDINAL
a &c. property,ORG
2,CARDINAL
96,CARDINAL
2,CARDINAL
two,CARDINAL
3,CARDINAL
4,CARDINAL
fifty,CARDINAL
monthly,DATE
46,CARDINAL
c.,NORP
one,CARDINAL
one,CARDINAL
50,DATE
51,CARDINAL
47,CARDINAL
52,CARDINAL
1,CARDINAL
48,CARDINAL
2,CARDINAL
daily,DATE
section 108,LAW
49,DATE
ten,CARDINAL
"10,000",CARDINAL
54,DATE
10.000,CARDINAL
third,ORDINAL
may 55,DATE
59,CARDINAL
60,CARDINAL
56,CARDINAL
one,CARDINAL
61,DATE
one,CARDINAL
57,CARDINAL
58,CARDINAL
62,CARDINAL
one,CARDINAL
2.—when,CARDINAL
two,CARDINAL
four,CARDINAL
2,CARDINAL
three,CARDINAL
three,CARDINAL
three,CARDINAL
three,CARDINAL
10 63,DATE
third,ORDINAL
monthly,DATE
100,CARDINAL
third,ORDINAL
c.,NORP
thai,NORP
10,CARDINAL
2,CARDINAL
64,DATE
1,CARDINAL
"10,000",CARDINAL
10.000,CARDINAL
66,CARDINAL
1,CARDINAL
section 65,LAW
i•n,PERSON
transferee,CARDINAL
1,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
2,CARDINAL
3,CARDINAL
section 65,LAW
70,CARDINAL
one,CARDINAL
22,CARDINAL
23,CARDINAL
67,CARDINAL
68,DATE
69,CARDINAL
71,DATE
transferee,CARDINAL
72,DATE
73,CARDINAL
