entity,label
96,CARDINAL
93,DATE
94,CARDINAL
95,CARDINAL
one,CARDINAL
98,CARDINAL
96,CARDINAL
99,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
"10,000",CARDINAL
"10,000",CARDINAL
97,CARDINAL
1v/223,CARDINAL
96,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
100,CARDINAL
english,LANGUAGE
england,GPE
4,CARDINAL
101,CARDINAL
1,CARDINAL
102,CARDINAL
1,CARDINAL
3,CARDINAL
five,CARDINAL
two,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
4,CARDINAL
five,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
6,CARDINAL
