entity,label
transferee,CARDINAL
1,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
2,CARDINAL
3,CARDINAL
section 65,LAW
70,CARDINAL
one,CARDINAL
22,CARDINAL
23,CARDINAL
67,CARDINAL
68,DATE
69,CARDINAL
71,DATE
transferee,CARDINAL
72,DATE
73,CARDINAL
2,CARDINAL
3,CARDINAL
section 13,LAW
74,DATE
section 11,LAW
section 7,LAW
4,CARDINAL
5,CARDINAL
75,DATE
1,CARDINAL
sri lanka,GPE
76,DATE
1,CARDINAL
section 75,LAW
2,CARDINAL
16-,DATE
3,CARDINAL
section 13,LAW
section 29,LAW
one,CARDINAL
section 7,LAW
1,CARDINAL
79,DATE
section 75 or section 76,LAW
4,CARDINAL
2,CARDINAL
80,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
84,CARDINAL
one,CARDINAL
one,CARDINAL
transferee,CARDINAL
85,DATE
81,CARDINAL
82,CARDINAL
83,DATE
"10,000",CARDINAL
annually,DATE
transferee,CARDINAL
second,ORDINAL
first,ORDINAL
second,ORDINAL
thai,NORP
"10,000",CARDINAL
86,DATE
transferee,CARDINAL
96,CARDINAL
87,CARDINAL
1,CARDINAL
2,CARDINAL
88,DATE
91,DATE
89,CARDINAL
92.,CARDINAL
90,CARDINAL
