entity,label
chapter 96,LAW
9,CARDINAL
1917,DATE
4,CARDINAL
1918,DATE
1,CARDINAL
1934,DATE
1968,DATE
30,CARDINAL
16th april.,DATE
1918,DATE
chapter 1,LAW
1.,CARDINAL
2,CARDINAL
english,NORP
the (h,ORG
england,GPE
3.,CARDINAL
96,CARDINAL
5,DATE
1,CARDINAL
107,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
chapter ii,LAW
6,CARDINAL
5,CARDINAL
107,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
two,CARDINAL
two,CARDINAL
d.,NORP
ford,ORG
7,CARDINAL
10,CARDINAL
8,CARDINAL
11,CARDINAL
9,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
10,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
one,CARDINAL
two,CARDINAL
